"OTU"	"Bastida_F_2017_1"	"Bastida_F_2017_2"	"Bouskill_N_2013_1"	"Bouskill_N_2013_2"	"Fernamdes_V_2018_1"	"Fernamdes_V_2018_2"	"Zhang_K_2016"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu1018"	NA	NA	NA	NA	1.56760838687246	-0.305618595540228	-0.00488410456116284	3	1.25710568677107	0.41903522892369	1
"Otu102"	0.452630581008216	-0.0809265455256807	-0.560391703069337	0.85336947500524	0.227968957218824	-0.562151060993462	1.47796553433822	7	1.80846523798202	0.258352176854574	1
"Otu1020"	-1.04752826668554	-0.633756879785593	NA	NA	-0.59743199047265	-0.20489137808656	0.726216853857594	5	-1.75739166117275	-0.35147833223455	-1
"Otu1021"	-0.279517895060668	-0.415970218250657	1.73281537561134	NA	0.416028564803522	-0.427388700147395	0.402758746012486	6	1.42872587296863	0.238120978828105	1
"Otu1022"	NA	NA	NA	NA	0.681695794069682	-0.234327928355788	0.115082965599246	3	0.56245083131314	0.187483610437713	1
"Otu1023"	1.47945301389662	2.85152822586697	NA	NA	NA	NA	1.59154400055081	3	5.9225252403144	1.9741750801048	1
"Otu1024"	0.26179749610054	-1.62469906021511	-1.12237408302909	NA	0.262084296080715	-1.00684206682328	0.204270861532134	6	-3.02576255635409	-0.504293759392349	-1
"Otu1025"	NA	NA	NA	NA	-1.36264229129533	-0.131377006115504	0.0877385652237076	3	-1.40628073218713	-0.468760244062375	-1
"Otu1028"	-0.115023612812306	NA	NA	NA	NA	0.136666702048839	-1.56864067939636	3	-1.54699759015983	-0.515665863386609	-1
"Otu1029"	1.21695386794996	0.778255874895442	-4.32280795828394	NA	-0.023585906461196	-0.674091314320162	0.216840340602585	6	-2.80843509561731	-0.468072515936219	-1
"Otu10291"	-1.47588278097028	1.1448464146516	NA	NA	NA	0.582283689917277	NA	3	0.251247323598597	0.083749107866199	1
"Otu1030"	NA	NA	NA	NA	-2.17828052142003	0.23064455804775	0.0552608535412653	3	-1.89237510983101	-0.630791703277005	-1
"Otu1031"	NA	NA	NA	NA	1.71474178274167	2.43564364722205	0.185953666021766	3	4.33633909598549	1.4454463653285	1
"Otu1032"	0.587486822213722	-1.17753151700673	NA	0.276302345821192	NA	NA	0.446102528074994	4	0.132360179103178	0.0330900447757945	1
